"","Date","Open","High","Low","Close","Volume"
"1",2014-01-02,2.62,2.62,2.59,2.61,41632500
"2",2014-01-03,2.6,2.61,2.56,2.56,45517700
"3",2014-01-06,2.57,2.57,2.5,2.53,68674700
"4",2014-01-07,2.51,2.52,2.49,2.52,53293800
"5",2014-01-08,2.51,2.54,2.49,2.51,69087900
"6",2014-01-09,2.51,2.53,2.49,2.5,45339800
"7",2014-01-10,2.5,2.51,2.49,2.49,41009000
"8",2014-01-13,2.5,2.52,2.5,2.52,29469300
"9",2014-01-14,2.51,2.52,2.5,2.51,30626300
"10",2014-01-15,2.51,2.52,2.5,2.51,50614100
